question,actual_answer,student_answer,score,feedback
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,Water boils at 90°C.,0.34,Incorrect
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespeare.,1.0,Correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespewere.,0.72,Meaning correct but structure different
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo ...,0.63,Partially correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by Charles Dickens.,0.04,Incorrect
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter is the largest planet in our solar system.,1.0,Correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter was the largest planet in our solar system.,0.74,Meaning correct but structure different
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter ...,0.6,Partially correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Saturn is the largest planet.,0.05,Incorrect
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,1.0,Correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,0.71,Meaning correct but structure different
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An ...,0.63,Partially correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor generates electrical energy from mechanical energy.,0.3,Incorrect
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,1.0,Correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,0.84,Meaning correct but structure different
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The ...,0.63,Partially correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c.,0.34,Incorrect
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,1.0,Correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,0.73,Meaning correct but structure different
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's ...,0.59,Partially correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that objects stay still unless pushed.,0.27,Incorrect
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and gas.",1.0,Correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter were solid, liquid, and gas.",0.72,Meaning correct but structure different
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.",The ...,0.53,Partially correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and plasma.",0.18,Incorrect
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is known as the powerhouse of the cell.,1.0,Correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria was known as the powerhouse of the cell.,0.76,Meaning correct but structure different
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The ...,0.46,Partially correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is the brain of the cell.,0.07,Incorrect
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Leonardo da Vinci.,1.0,Correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lwasa was painted by Leonardo da Vinci.,0.83,Meaning correct but structure different
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The ...,0.66,Partially correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Pablo Picasso.,0.36,Incorrect
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,1.0,Correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,0.9,Meaning correct but structure different
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply ...,0.55,Partially correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how companies control markets.,0.18,Incorrect
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,1.0,Correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,0.77,Meaning correct but structure different
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The ...,0.69,Partially correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was discovered by Isaac Newton.,0.38,Incorrect
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the yen.,1.0,Correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan was the yen.,0.9,Meaning correct but structure different
What is the currency of Japan?,The currency of Japan is the yen.,The ...,0.52,Partially correct
